place_name,latitude,longitude,destination_city
Madras Crocodile Bank,12.7458,80.2338,Chennai
Express Avenue Mall,13.0591,80.2614,Chennai
Phoenix Marketcity,13.0107,80.2207,Chennai
Forum Vijaya Mall,13.0152,80.2331,Chennai
Spencer Plaza,13.0625,80.2692,Chennai
Ampa Skywalk Mall,13.0612,80.2102,Chennai
VR Chennai,13.0001,80.2558,Chennai
Chennai Citi Centre,13.0318,80.2154,Chennai
Grand Square Mall,13.0207,80.2218,Chennai
Alsa Mall,13.0651,80.2124,Chennai
Pondy Bazaar,13.0512,80.2402,Chennai
Parrys Corner Market,13.0892,80.2814,Chennai
Sowcarpet Market,13.0921,80.2784,Chennai
Ranganathan Street,13.0448,80.2342,Chennai
T Nagar Shopping District,13.0407,80.2341,Chennai
Fort St George,13.0795,80.2874,Chennai
Valluvar Kottam,13.0521,80.2345,Chennai
Ripon Building,13.0802,80.2792,Chennai
High Court Building,13.0812,80.2881,Chennai
Connemara Public Library,13.0714,80.2571,Chennai
George Town Heritage Area,13.0895,80.2825,Chennai
Mylapore Heritage Walk,13.0337,80.2698,Chennai
Anna Memorial,13.0532,80.2851,Chennai
MGR Memorial,13.0542,80.2865,Chennai
Arjuna's Penance,12.6189,80.1922,Chennai
Five Rathas,12.6192,80.1925,Chennai
MGR Film City,13.0124,80.2381,Chennai
Snow Kingdom,13.0112,80.2192,Chennai
Kishkinta Theme Park,12.8501,80.0421,Chennai
VGP Marine Kingdom,12.9721,80.2541,Chennai
VGP Universal Kingdom,12.9721,80.2551,Chennai
Saravana Bhavan,13.0621,80.2612,Chennai
Murugan Idli Shop,13.0381,80.2412,Chennai
Buhari Hotel,13.0842,80.2795,Chennai
Annalakshmi Restaurant,13.0008,80.2591,Chennai
Madras Coffee House,13.0381,80.2402,Chennai
Cafe Madras,13.0448,80.2332,Chennai
Gokulam Restaurant,13.0512,80.2392,Chennai
Sangeetha Restaurant,13.0591,80.2614,Chennai
Adyar Ananda Bhavan,13.0015,80.2581,Chennai
Ratna Cafe,13.0384,80.2452,Chennai
Woodlands Drive-In,13.0421,80.2362,Chennai
Amethyst Cafe,13.0335,80.2578,Chennai
The Flying Elephant,13.0624,80.2701,Chennai
Copper Chimney,13.0612,80.2452,Chennai
Dakshin Restaurant,13.0024,80.2591,Chennai
Pumpkin Tales,13.0642,80.2642,Chennai
Naturally Auroville,13.0321,80.2564,Chennai
Chamiers Cafe,13.0312,80.2542,Chennai
Tuscana Pizzeria,13.0624,80.2642,Chennai
Writers Cafe,13.0638,80.2684,Chennai
The Brew Room,13.0601,80.2631,Chennai
Ciclo Cafe,13.0321,80.2584,Chennai
Kasi Theatre Coffee,13.0291,80.2512,Chennai
Kalakshetra Foundation,13.0084,80.2592,Chennai
Cholamandal Artists Village,12.9045,80.2421,Chennai
Kalakendra Art Gallery,13.0291,80.2545,Chennai
Muttukadu Boat House,12.8124,80.2362,Chennai
Bay of Life Water Sports,12.9991,80.2732,Chennai
Thiruthani Murugan Temple,13.1719,79.6038,Tiruvallur
Veeraraghava Perumal Temple,13.1231,79.9120,Tiruvallur
Sri Vadaranyeswarar Temple,13.1231,79.9120,Tiruvallur
Panchamukha Anjaneyar Temple,13.1231,79.9120,Tiruvallur
Siruvapuri Balamurugan Temple,13.1759,79.6164,Tiruvallur
Vaseeswarar Temple Thirupachur,13.1231,79.9120,Tiruvallur
Bhaktavatsala Perumal Temple,13.1231,79.9120,Tiruvallur
Oondreeswarar Shiva Temple,13.1231,79.9120,Tiruvallur
Masilamaniswara Temple,13.1231,79.9120,Tiruvallur
Kadambathur Murugan Temple,13.1759,79.6164,Tiruvallur
Thyagaraja Temple Thiruvottiyur,13.1643,80.3007,Tiruvallur
Sri Veera Anjaneya Temple,13.1231,79.9120,Tiruvallur
Jagannatha Perumal Temple,13.1231,79.9120,Tiruvallur
Bhavani Amman Temple Periyapalayam,13.1231,79.9120,Tiruvallur
Devadhanam Temple,13.1231,79.9120,Tiruvallur
Sri Beteraya Swamy Temple,13.1231,79.9120,Tiruvallur
Pulicat Lake,13.4167,80.3167,Tiruvallur
Pulicat Bird Sanctuary,13.5667,80.2000,Tiruvallur
Poondi Reservoir,13.1850,79.8600,Tiruvallur
Chembarambakkam Lake,13.0114,80.0591,Tiruvallur
Ponneri Lake,13.3333,80.1833,Tiruvallur
Red Hills Lake,13.1580,80.1730,Tiruvallur
Pulicat Lagoon Boat Ride,13.4167,80.3167,Tiruvallur
Ponneri Beach,13.3333,80.1833,Tiruvallur
Kattupalli Beach,13.2167,80.3167,Tiruvallur
Ennore Beach,13.2167,80.3167,Tiruvallur
Pulicat Beach,13.4167,80.3167,Tiruvallur
Gudiyam Caves,12.9167,80.0833,Tiruvallur
Dutch Cemetery Pulicat,13.4167,80.3167,Tiruvallur
Dutch Church Pulicat,13.4167,80.3167,Tiruvallur
Ponneri Fort,13.3333,80.1833,Tiruvallur
Pulicat Lighthouse,13.4167,80.3167,Tiruvallur
Queensland Amusement Park,13.0300,80.0275,Tiruvallur
Peria Puliyur Forest,13.1231,79.9120,Tiruvallur
Community Park Tiruvallur,13.1231,79.9120,Tiruvallur
Vetri Garden Free Park,13.1231,79.9120,Tiruvallur
Suncity Park,13.1231,79.9120,Tiruvallur
Ngo Colony Park,13.1231,79.9120,Tiruvallur
Poondi Madha Basilica,13.2086,79.8773,Tiruvallur
St. Anthony's Church Ponneri,13.3333,80.1833,Tiruvallur
Sacred Heart Church Tiruvallur,13.1231,79.9120,Tiruvallur
Tiruvallur Main Market,13.1231,79.9120,Tiruvallur
Ponneri Local Market,13.3333,80.1833,Tiruvallur
Gummidipundi Market,13.4000,80.1167,Tiruvallur
Thiruthani Market Street,13.1759,79.6164,Tiruvallur
Anjappar Chettinad Restaurant,13.1231,79.9120,Tiruvallur
Saravana Bhavan Tiruvallur,13.1231,79.9120,Tiruvallur
Hotel Aryaas,13.1231,79.9120,Tiruvallur
Murugan Idli Shop Tiruvallur,13.1231,79.9120,Tiruvallur
SS Hyderabad Biryani,13.1231,79.9120,Tiruvallur
Thiruthani Darshini Restaurant,13.1759,79.6164,Tiruvallur
Ponneri Hotel Annapoorna,13.3333,80.1833,Tiruvallur
Gummidipundi Sangeetha Restaurant,13.4000,80.1167,Tiruvallur
A2B - Adyar Ananda Bhavan,13.1231,79.9120,Tiruvallur
Cafe Coffee Day Tiruvallur,13.1231,79.9120,Tiruvallur
Pulicat Fishing Experience,13.4167,80.3167,Tiruvallur
Ponneri Lake Boating,13.3333,80.1833,Tiruvallur
Pulicat Flamingo Watching,13.4167,80.3167,Tiruvallur
Ponneri Fish Market,13.3333,80.1833,Tiruvallur
Pulicat Village Heritage Walk,13.4167,80.3167,Tiruvallur
Tiruvallur Cultural Center,13.1231,79.9120,Tiruvallur
Poondi Dam Viewpoint,13.1850,79.8600,Tiruvallur
Red Hills Lake Viewpoint,13.1580,80.1730,Tiruvallur
Pulicat Sunset Point,13.4167,80.3167,Tiruvallur
Chembarambakkam Lake Viewpoint,13.0114,80.0591,Tiruvallur
Sri Lakshmi Narasimha Swamy Temple,13.1231,79.9120,Tiruvallur
Kailasanathar Temple,13.1231,79.9120,Tiruvallur
Arulmigu Mariamman Temple,13.1231,79.9120,Tiruvallur
Vinayagar Temple Ponneri,13.3333,80.1833,Tiruvallur
Tiruvallur Shopping Complex,13.1231,79.9120,Tiruvallur
Ponneri Textile Market,13.3333,80.1833,Tiruvallur
Arignar Anna Zoological Park,12.8892,80.0812,Tiruvallur
Sadras Dutch Fort,12.6167,80.1833,Tiruvallur
Thiruvalangadu Temple,13.1231,79.9120,Tiruvallur
Porur Lake,13.0353,80.1565,Tiruvallur
Kamarajar Lake,13.1231,79.9120,Tiruvallur
Arulmigu Karumariamman Temple,13.1231,79.9120,Tiruvallur
VGP Marine Kingdom,12.9721,80.2541,Tiruvallur
Alamathi Rathaswamy Temple,13.1231,79.9120,Tiruvallur
Minjur Beach,13.2786,80.2597,Tiruvallur
Sri Padmavathi Amman Temple,13.1231,79.9120,Tiruvallur
Tiruvottiyur Beach,13.1643,80.3007,Tiruvallur
Puzhal Lake Viewpoint,13.1580,80.1730,Tiruvallur
Hotel Srinivasa Bhavan,13.1231,79.9120,Tiruvallur
Thirunindravur Perumal Temple,13.0796,80.0273,Tiruvallur
Arulmigu Singamugavelayutha Swamy Temple,13.1231,79.9120,Tiruvallur
Gummidipundi Forest,13.4000,80.1167,Tiruvallur
Hotel Saravana Bhavan Ponneri,13.3333,80.1833,Tiruvallur
Pulicat Island Tour,13.4167,80.3167,Tiruvallur
Tiruvallur Government Museum,13.1231,79.9120,Tiruvallur
Sri Yoga Narasimha Swamy Temple,13.1231,79.9120,Tiruvallur
Ponneri Handicrafts Market,13.3333,80.1833,Tiruvallur
Manali Beach,13.1786,80.2983,Tiruvallur
Pazhaverkadu Beach,13.4167,80.3167,Tiruvallur
Hotel Banana Leaf Thiruthani,13.1759,79.6164,Tiruvallur
Arulmigu Kamakshi Amman Temple Gummidipundi,13.4000,80.1167,Tiruvallur
Cholavaram Lake,13.1231,79.9120,Tiruvallur
Thiruverkadu Karumariamman Temple,13.0580,80.1400,Tiruvallur
Ponneri Eco Park,13.3333,80.1833,Tiruvallur
Cafe Madras Tiruvallur,13.1231,79.9120,Tiruvallur
Sri Ranganathar Temple Ponneri,13.3333,80.1833,Tiruvallur
Athipattu Waterfalls,13.1231,79.9120,Tiruvallur
Thiruvallur Bus Stand Market,13.1231,79.9120,Tiruvallur
Arulmigu Sundaravaradaraja Perumal Temple,13.1231,79.9120,Tiruvallur
Pulicat Backwater Kayaking,13.4167,80.3167,Tiruvallur
Hotel Vasantha Bhavan,13.1231,79.9120,Tiruvallur
Alamathi Lake,13.1231,79.9120,Tiruvallur
Arulmigu Kottai Mariamman Temple,13.1231,79.9120,Tiruvallur
Gummidipundi Coastal Drive,13.4000,80.1167,Tiruvallur
Ponneri Photography Spots,13.3333,80.1833,Tiruvallur
Krishna Sweets Tiruvallur,13.1231,79.9120,Tiruvallur
Thiruppalaivanam Temple,13.1231,79.9120,Tiruvallur
Pazhaverkadu Flamingo Point,13.4167,80.3167,Tiruvallur
Tiruvallur Heritage Walk,13.1231,79.9120,Tiruvallur
Sri Venkatachalapathy Temple,13.1231,79.9120,Tiruvallur
Ponneri Sunset Beach Point,13.3333,80.1833,Tiruvallur
Pulicat Traditional Fishing Village Tour,13.4167,80.3167,Tiruvallur
Hotel Guru Bhavan,13.1231,79.9120,Tiruvallur
Thiruvallur City Park,13.1231,79.9120,Tiruvallur
Arulmigu Sowmya Narayana Perumal Temple,13.1231,79.9120,Tiruvallur
Gummidipundi Pottery Village,13.4000,80.1167,Tiruvallur
Kamakshi Amman Temple,12.8263,79.6968,Kanchipuram
Ekambareswarar Temple,12.8472,79.7003,Kanchipuram
Varadharaja Perumal Temple,12.8190,79.7252,Kanchipuram
Kailasanathar Temple,12.8372,79.6955,Kanchipuram
Ulagalantha Perumal Temple,12.8250,79.7050,Kanchipuram
Vaikunda Perumal Temple,12.8300,79.7100,Kanchipuram
Kumarakottam Temple,12.8280,79.7080,Kanchipuram
Shore Temple Mahabalipuram,12.6165,80.1993,Kanchipuram
Thirukacchi Ekambam Temple,12.8350,79.7020,Kanchipuram
Kachapeswarar Temple,12.8320,79.7090,Kanchipuram
Pancha Rathas,12.6088,80.1896,Kanchipuram
Arjuna's Penance,12.6189,80.1922,Kanchipuram
Krishna's Butterball,12.6203,80.1931,Kanchipuram
Mahabalipuram Open Air Museum,12.6180,80.1950,Kanchipuram
Tiger Cave Mahabalipuram,12.6500,80.2050,Kanchipuram
Mahishasuramardini Cave,12.6210,80.1940,Kanchipuram
Varaha Cave Temple,12.6195,80.1935,Kanchipuram
Mahabalipuram Beach,12.6200,80.2000,Kanchipuram
Covelong Beach,12.7922,80.2546,Kanchipuram
Silver Beach Mahabalipuram,12.6180,80.2010,Kanchipuram
Sadras Beach,12.6167,80.1833,Kanchipuram
Kanchipuram Silk Saree Market,12.8350,79.7020,Kanchipuram
Kanchipuram Co-operative Silk Society,12.8340,79.7030,Kanchipuram
Gandhi Road Shopping Street,12.8330,79.7040,Kanchipuram
Kanchipuram Silk Weaving Center,12.8360,79.7010,Kanchipuram
Mahabalipuram Handicrafts Market,12.6220,80.1980,Kanchipuram
Kanchi Kudil Heritage House,12.8380,79.7000,Kanchipuram
DakshinaChitra Museum,12.8172,80.2442,Kanchipuram
India Seashell Museum Mahabalipuram,12.6250,80.1970,Kanchipuram
Vedanthangal Bird Sanctuary,12.5407,79.8528,Kanchipuram
Madras Crocodile Bank,12.7458,80.2338,Kanchipuram
Muttukadu Backwaters,12.8050,80.2400,Kanchipuram
Muttukadu Boat House,12.8124,80.2362,Kanchipuram
Kanchi Kamakoti Peetham,12.8270,79.6980,Kanchipuram
Adhi Varaha Perumal Temple,12.8200,79.7060,Kanchipuram
Pandava Dootha Perumal Temple,12.8210,79.7070,Kanchipuram
Saravana Bhavan Kanchipuram,12.8340,79.7050,Kanchipuram
Hotel Saravana Bhavan Mahabalipuram,12.6230,80.1990,Kanchipuram
Moonrakers Mahabalipuram,12.6240,80.2000,Kanchipuram
Le Yogi Mahabalipuram,12.6250,80.2010,Kanchipuram
Mamalla Bhavan,12.6220,80.1980,Kanchipuram
Sea Shore Garden Restaurant,12.6200,80.2020,Kanchipuram
Covelong Point Surf School,12.7922,80.2546,Kanchipuram
Mahabalipuram Water Sports Center,12.6210,80.2015,Kanchipuram
Parasailing at Mahabalipuram,12.6200,80.2010,Kanchipuram
Kanchipuram Town Park,12.8330,79.7060,Kanchipuram
Mahabalipuram Beach Park,12.6190,80.2005,Kanchipuram
Lighthouse Mahabalipuram,12.6215,80.1995,Kanchipuram
Mahabalipuram Sunset Point,12.6180,80.2000,Kanchipuram
Covelong Beach Sunset View,12.7922,80.2546,Kanchipuram
Thiruvakkarai Temple,12.8400,79.6950,Kanchipuram
Deepa Prakasa Perumal Temple,12.8290,79.7110,Kanchipuram
Ashtabhuja Perumal Temple,12.8310,79.7120,Kanchipuram
Pavalavannanathar Temple,12.8420,79.6940,Kanchipuram
Kamakshi Cave Temple,12.8260,79.6970,Kanchipuram
Trilokyanatha Temple,12.8270,79.7130,Kanchipuram
Iravataneswara Temple,12.8440,79.6930,Kanchipuram
Muktheeswarar Temple,12.8450,79.6920,Kanchipuram
Thiruputkuzhi Temple,12.8500,79.6900,Kanchipuram
Atiranachanda Cave Temple,12.6230,80.1960,Kanchipuram
Trimurti Cave Temple,12.6240,80.1965,Kanchipuram
Ganesha Ratha,12.6095,80.1900,Kanchipuram
Mahabalipuram Rock Carving Workshop,12.6250,80.1975,Kanchipuram
Thirukkalukkunram Temple,12.5750,79.9750,Kanchipuram
Vedagiri Murugan Temple,12.5780,79.9770,Kanchipuram
Palar River Viewpoint,12.8000,79.7500,Kanchipuram
Chengalpattu Fort,12.6917,79.9753,Kanchipuram
Kolavai Lake,12.7500,79.9000,Kanchipuram
Thiruporur Murugan Temple,12.7500,80.1667,Kanchipuram
Alamparai Fort,12.2500,80.0833,Kanchipuram
Kovalam Beach,12.7833,80.2500,Kanchipuram
Madurantakam Lake,12.5000,79.8833,Kanchipuram
Kalpakkam Beach,12.5500,80.1667,Kanchipuram
Thiruvidanthai Temple,12.8167,80.1333,Kanchipuram
Jalakanteshwara Temple Vellore,12.9167,79.1333,Kanchipuram
GRT Temple Bay Beach Resort,12.6200,80.2030,Kanchipuram
Fisherman's Cove Beach,12.8350,80.2550,Kanchipuram
Vedanthangal Lake Boating,12.5407,79.8528,Kanchipuram
Hotel Aryaas Kanchipuram,12.8345,79.7055,Kanchipuram
Thalappakatti Restaurant Kanchipuram,12.8350,79.7045,Kanchipuram
Murugan Idli Shop Kanchipuram,12.8355,79.7065,Kanchipuram
Mahabalipuram Seafood Restaurants,12.6225,80.1995,Kanchipuram
Gecko Mahabalipuram,12.6235,80.2005,Kanchipuram
Wharf Mahabalipuram,12.6245,80.2015,Kanchipuram
Kanchipuram Traditional Breakfast Stalls,12.8340,79.7050,Kanchipuram
Mahabalipuram Beach Shacks,12.6200,80.2010,Kanchipuram
Kanchipuram Temple Prasadam Shops,12.8350,79.7020,Kanchipuram
Mahabalipuram Art Gallery,12.6230,80.1985,Kanchipuram
Stone Sculpture Museum,12.6240,80.1990,Kanchipuram
Kanchipuram Heritage Walking Tour,12.8350,79.7000,Kanchipuram
Mahabalipuram Photography Tour,12.6200,80.1950,Kanchipuram
Kovalam Backwaters,12.7833,80.2500,Kanchipuram
Mahabalipuram Cycling Tour,12.6200,80.1960,Kanchipuram
Kanchipuram Silk Factory Visit,12.8360,79.7030,Kanchipuram
Bay of Bengal Drive Mahabalipuram,12.6200,80.2000,Kanchipuram
Mahabs Beach Cafe,12.6215,80.2008,Kanchipuram
Mahabalipuram Fish Market,12.6205,80.2002,Kanchipuram
Olcott Memorial School Mahabalipuram,12.6250,80.1980,Kanchipuram
Sadras Dutch Fort Ruins,12.6167,80.1833,Kanchipuram
ECR Beach Resorts Area,12.7500,80.2300,Kanchipuram
Sri Lakshmi Narayani Golden Temple,12.8733,79.0884,Vellore
Jalakandeswarar Temple,12.9206,79.1279,Vellore
Ratnagiri Murugan Temple,12.9200,79.1300,Vellore
Virinjipuram Temple,12.9150,79.1250,Vellore
Margabandeeswarar Temple,12.9100,79.1200,Vellore
Sathuvachari Murugan Temple,12.9300,79.1400,Vellore
St. John's Church,12.9210,79.1285,Vellore
Big Mosque Vellore Fort,12.9206,79.1279,Vellore
Vellore Fort,12.9206,79.1279,Vellore
Archaeological Survey Museum Vellore,12.9206,79.1279,Vellore
Government Museum Vellore,12.9180,79.1300,Vellore
Tipu Sultan's Mosque,12.9206,79.1279,Vellore
Yelagiri Hills,12.5846,78.6346,Vellore
Swamimalai Hills Yelagiri,12.5900,78.6400,Vellore
Jalagamparai Waterfalls,12.6000,78.6500,Vellore
Punganur Lake Yelagiri,12.5850,78.6350,Vellore
Amirthi Zoological Park,12.7319,79.0561,Vellore
Amirthi Forest,12.7300,79.0550,Vellore
Palamathi Hills,12.6000,78.6600,Vellore
Kavalur Observatory,12.5767,78.8267,Vellore
Periyar Park,12.9200,79.1320,Vellore
Science Park Vellore,12.9250,79.1350,Vellore
Botanical Garden Yelagiri,12.5860,78.6360,Vellore
Rose Garden Yelagiri,12.5870,78.6370,Vellore
Yelagiri Adventure Camp,12.5880,78.6380,Vellore
Paragliding at Yelagiri,12.5900,78.6400,Vellore
Trekking at Yelagiri,12.5850,78.6350,Vellore
Zip Line Yelagiri,12.5865,78.6365,Vellore
Boating at Punganur Lake,12.5850,78.6350,Vellore
Main Bazaar Vellore,12.9190,79.1310,Vellore
VIT Market Complex,12.9697,79.1558,Vellore
Gandhi Road Shopping,12.9185,79.1315,Vellore
Yelagiri Handicrafts Market,12.5855,78.6355,Vellore
Darling Restaurant Vellore,12.9180,79.1320,Vellore
Saravana Bhavan Vellore,12.9175,79.1325,Vellore
The Vellore Kitchen,12.9170,79.1330,Vellore
Alankar Virundhu,12.9165,79.1335,Vellore
Sai Sangeet Restaurant,12.9160,79.1340,Vellore
Yelagiri Lake View Cafe,12.5850,78.6350,Vellore
Hotel Aryaas Vellore,12.9155,79.1345,Vellore
Peter England Bakery,12.9150,79.1350,Vellore
Yelagiri Viewpoint,12.5920,78.6420,Vellore
Telescope Observatory Yelagiri,12.5890,78.6390,Vellore
Sunset Point Yelagiri,12.5910,78.6410,Vellore
CMC Vellore Campus Tour,12.9250,79.1450,Vellore
VIT University Campus,12.9697,79.1558,Vellore
Silk Farm Yelagiri,12.5840,78.6340,Vellore
Nilavoor Lake,12.6050,78.6550,Vellore
Vellore Nature Park,12.9220,79.1360,Vellore
Fundera Park Vellore,12.9240,79.1370,Vellore
Mordhana Dam,12.9000,79.1000,Vellore
Belagondapalli Fort,12.8500,79.0500,Vellore
Vainu Bappu Observatory,12.5767,78.8267,Vellore
Tada Falls,13.3167,79.9833,Vellore
Natrampalli Lake,12.8000,78.8000,Vellore
Sri Margabandhu Amman Temple,12.9100,79.1200,Vellore
Thiruvalam Shiva Temple,12.9500,79.2000,Vellore
Thirumalaikodi Temple,12.8730,79.0880,Vellore
Vallimalai Murugan Temple,12.8800,79.0900,Vellore
Arulmigu Lakshmi Narasimha Swamy Temple,12.9050,79.1150,Vellore
Krishnagiri Dam,12.5333,78.2167,Vellore
Thandikudi Murugan Temple,12.9400,79.1500,Vellore
Thirthamalai Temple,12.4500,78.5500,Vellore
Elagiri Adventure Sports Camp,12.5850,78.6350,Vellore
Nature Park Yelagiri,12.5845,78.6345,Vellore
Velavan Temple Swamimalai,12.5900,78.6400,Vellore
Javadu Hills,12.4500,78.8500,Vellore
Beemanmadavu Falls,12.5000,78.7000,Vellore
Sholinghur Yoga Narasimha Temple,13.0167,79.4167,Vellore
Koundinya Wildlife Sanctuary,13.1000,78.5000,Vellore
Mamandur Fort,12.8000,79.2000,Vellore
Chittor Palace Ruins,12.9500,79.2500,Vellore
Walajapet Market,12.9250,79.3667,Vellore
Katpadi Junction Shopping Area,12.9697,79.1558,Vellore
Yelagiri Tribal Museum,12.5860,78.6360,Vellore
Silk Weaving Center Vellore,12.9170,79.1330,Vellore
Arignar Anna Zoological Park Vandalur,12.8892,80.0812,Vellore
Hotel Junior Kuppanna,12.9165,79.1335,Vellore
Geetha Cafe Vellore,12.9160,79.1340,Vellore
Sri Krishna Sweets Vellore,12.9155,79.1345,Vellore
Vasantha Bhavan Vellore,12.9150,79.1350,Vellore
Golden Palms Restaurant,12.9145,79.1355,Vellore
Yelagiri Mountain View Restaurant,12.5855,78.6355,Vellore
Vainu Bappu Lake,12.5767,78.8267,Vellore
Jalakandapuram Temple,12.9200,79.1280,Vellore
Kailasagiri Park Yelagiri,12.5865,78.6365,Vellore
Yelagiri Orchidarium,12.5870,78.6370,Vellore
Rock Climbing at Yelagiri,12.5880,78.6380,Vellore
Rappelling at Yelagiri Hills,12.5875,78.6375,Vellore
Rifle Shooting Range Yelagiri,12.5885,78.6385,Vellore
ATV Rides Yelagiri,12.5890,78.6390,Vellore
Heritage Village Resort Vellore,12.9100,79.1250,Vellore
Muthu Mandapam,12.9206,79.1279,Vellore
Vellore Fort Light & Sound Show,12.9206,79.1279,Vellore
Arcot Fort,12.9056,79.3194,Vellore
Ranipet Industrial Heritage Tour,12.9250,79.3333,Vellore
Ponnai River Viewpoint,12.9500,79.2000,Vellore
Vellore Central Mall,12.9180,79.1330,Vellore
Leather Factory Outlet Vellore,12.9200,79.1350,Vellore
Palamathi Viewpoint,12.6020,78.6620,Vellore
Shore Temple Mahabalipuram,12.6165,80.1993,Chengalpattu
Vedagiriswarar Temple Thirukalukundram,12.6067,80.0625,Chengalpattu
Kandhaswamy Temple Tirupporur,12.7500,80.1667,Chengalpattu
Nithya Kalyana Perumal Temple,12.6900,79.9800,Chengalpattu
Srinivasa Perumal Temple Semmanjeri,12.8200,80.1200,Chengalpattu
Tiruvidanthai Lakshmi Narasimha Temple,12.8167,80.1333,Chengalpattu
Vallam Hill Cave Temple,12.6500,80.0000,Chengalpattu
Sthalasayana Perumal Temple,12.6500,79.9600,Chengalpattu
Pancha Rathas,12.6088,80.1896,Chengalpattu
Arjuna's Penance,12.6189,80.1922,Chengalpattu
Krishna's Butter Ball,12.6203,80.1931,Chengalpattu
Tiger Cave Mahabalipuram,12.6500,80.2050,Chengalpattu
Varaha Cave Temple,12.6195,80.1935,Chengalpattu
Mahishasuramardini Cave,12.6210,80.1940,Chengalpattu
Alamparai Fort,12.2668,80.0104,Chengalpattu
Sadras Fort,12.6167,80.1833,Chengalpattu
Mahabalipuram Beach,12.6200,80.2000,Chengalpattu
Kovalam Beach,12.7833,80.2500,Chengalpattu
Mudaliarkuppam Beach,12.7000,80.2300,Chengalpattu
Covelong Beach,12.7922,80.2546,Chengalpattu
Arignar Anna Zoological Park Vandalur,12.8892,80.0812,Chengalpattu
Madras Crocodile Bank,12.7458,80.2338,Chengalpattu
Vedanthangal Bird Sanctuary,12.5407,79.8528,Chengalpattu
Karikili Bird Sanctuary,12.5500,79.8600,Chengalpattu
Muttukadu Boat House,12.8124,80.2362,Chengalpattu
Muttukadu Backwaters,12.8050,80.2400,Chengalpattu
Mudaliarkuppam Boat House,12.7000,80.2300,Chengalpattu
Kovalam Lake,12.7833,80.2500,Chengalpattu
DakshinaChitra Museum,12.8172,80.2442,Chengalpattu
India Seashell Museum,12.6250,80.1970,Chengalpattu
Sculpture Museum Mahabalipuram,12.6220,80.1980,Chengalpattu
MGM Dizzee World,12.8256,80.2500,Chengalpattu
Mayajaal Multiplex,12.8350,80.2450,Chengalpattu
Mahabalipuram Handicrafts Market,12.6220,80.1980,Chengalpattu
Stone Sculpture Shops Mahabalipuram,12.6210,80.1975,Chengalpattu
Chengalpattu Main Market,12.6917,79.9753,Chengalpattu
Moonrakers Mahabalipuram,12.6240,80.2000,Chengalpattu
Le Yogi Mahabalipuram,12.6250,80.2010,Chengalpattu
Mamalla Bhavan,12.6220,80.1980,Chengalpattu
Sea Shore Garden Restaurant,12.6200,80.2020,Chengalpattu
Saravana Bhavan Chengalpattu,12.6920,79.9760,Chengalpattu
Hotel Aryaas Chengalpattu,12.6925,79.9765,Chengalpattu
Covelong Point Surf School,12.7922,80.2546,Chengalpattu
Mahabalipuram Water Sports,12.6210,80.2015,Chengalpattu
Mahabalipuram Lighthouse,12.6215,80.1995,Chengalpattu
Mahabalipuram Sunset Point,12.6180,80.2000,Chengalpattu
Kovalam Beach Sunset View,12.7833,80.2500,Chengalpattu
Chengalpattu Town Park,12.6917,79.9753,Chengalpattu
Mahabalipuram Beach Park,12.6190,80.2005,Chengalpattu
