place_name,category,cost_category,indoor_outdoor,popularity_rating,destination_city
Thiruvalluvar Temple,Spiritual Traveler / Culture Seeker,Budget,both,3,Chennai
Kalikambal Temple,Spiritual Traveler / Culture Seeker,Mid-range,both,3,Chennai
Mahabalipuram Shore Temple,Culture Seeker / Spiritual Traveler,Budget,outdoor,5,Chennai
Santhome Cathedral Basilica,Culture Seeker / Spiritual Traveler,Budget,both,4,Chennai
San Thome Church,Culture Seeker / Spiritual Traveler,Budget,both,3,Chennai
Luz Church,Culture Seeker / Spiritual Traveler,Budget,both,3,Chennai
St. Mary's Church,Culture Seeker / Spiritual Traveler,Budget,both,3,Chennai
Fort St. George Museum,Culture Seeker / Budget Backpacker,Budget,indoor,3,Chennai
Government Museum,Culture Seeker / Budget Backpacker,Mid-range,indoor,5,Chennai
DakshinaChitra Museum,Culture Seeker / Family Planner,Mid-range,indoor,3,Chennai
Gandhi Mandapam,Culture Seeker / Budget Backpacker,Budget,both,3,Chennai
Vivekananda House,Culture Seeker / Spiritual Traveler,Budget,both,3,Chennai
Birla Planetarium,Family Planner / Culture Seeker,Budget,indoor,3,Chennai
Egmore Museum Complex,Culture Seeker / Budget Backpacker,Mid-range,indoor,3,Chennai
Ayurveda College Museum,Culture Seeker / Relaxation Lover,Budget,indoor,3,Chennai
Guindy National Park,Nature Lover / Family Planner,Mid-range,outdoor,4,Chennai
Semmozhi Poonga,Nature Lover / Relaxation Lover,Budget,both,3,Chennai
Nageswara Rao Park,Nature Lover / Family Planner,Mid-range,outdoor,3,Chennai
Theosophical Society,Nature Lover / Relaxation Lover / Spiritual Traveler,Mid-range,both,3,Chennai
Arignar Anna Zoological Park,Nature Lover / Family Planner,Mid-range,outdoor,3,Chennai
Madras Crocodile Bank,Nature Lover / Adventure Seeker,Mid-range,both,4,Chennai
Express Avenue Mall,Shopper / Urban Explorer / Foodie,Premium,indoor,5,Chennai
Phoenix Marketcity,Shopper / Urban Explorer / Foodie,Premium,outdoor,5,Chennai
Forum Vijaya Mall,Shopper / Urban Explorer / Foodie,Premium,indoor,4,Chennai
Spencer Plaza,Shopper / Urban Explorer / Budget Backpacker,Mid-range,both,4,Chennai
Ampa Skywalk Mall,Shopper / Urban Explorer / Foodie,Premium,indoor,4,Chennai
VR Chennai,Shopper / Urban Explorer / Foodie,Premium,both,4,Chennai
Chennai Citi Centre,Shopper / Urban Explorer / Foodie,Mid-range,both,3,Chennai
Grand Square Mall,Shopper / Urban Explorer / Foodie,Mid-range,indoor,3,Chennai
Alsa Mall,Shopper / Urban Explorer / Foodie,Premium,indoor,4,Chennai
Pondy Bazaar,Shopper / Urban Explorer / Budget Backpacker,Budget,outdoor,4,Chennai
Parrys Corner Market,Shopper / Urban Explorer / Foodie,Budget,outdoor,3,Chennai
Sowcarpet Market,Shopper / Urban Explorer / Culture Seeker,Budget,outdoor,3,Chennai
Ranganathan Street,Shopper / Urban Explorer / Foodie,Budget,outdoor,3,Chennai
T Nagar Shopping District,Shopper / Urban Explorer / Foodie,Budget,indoor,4,Chennai
Fort St George,Culture Seeker / Budget Backpacker,Budget,outdoor,5,Chennai
Valluvar Kottam,Culture Seeker,Budget,both,3,Chennai
Ripon Building,Culture Seeker / Budget Backpacker,Budget,outdoor,3,Chennai
High Court Building,Culture Seeker,Budget,outdoor,3,Chennai
Connemara Public Library,Culture Seeker / Relaxation Lover,Budget,indoor,3,Chennai
George Town Heritage Area,Culture Seeker / Shopper / Urban Explorer,Budget,outdoor,3,Chennai
Mylapore Heritage Walk,Culture Seeker / Budget Backpacker,Budget,outdoor,3,Chennai
Anna Memorial,Culture Seeker,Budget,outdoor,3,Chennai
MGR Memorial,Culture Seeker,Budget,outdoor,4,Chennai
Arjuna's Penance,Culture Seeker / Adventure Seeker,Budget,outdoor,3,Chennai
Five Rathas,Culture Seeker / Budget Backpacker,Budget,outdoor,3,Chennai
MGR Film City,Culture Seeker / Family Planner,Premium,outdoor,4,Chennai
Snow Kingdom,Adventure Seeker / Family Planner,Mid-range,indoor,3,Chennai
Kishkinta Theme Park,Adventure Seeker / Family Planner,Mid-range,outdoor,3,Chennai
VGP Marine Kingdom,Adventure Seeker / Family Planner,Mid-range,both,4,Chennai
VGP Universal Kingdom,Adventure Seeker / Family Planner,Premium,both,4,Chennai
Saravana Bhavan,Foodie / Budget Backpacker,Budget,indoor,3,Chennai
Murugan Idli Shop,Foodie / Budget Backpacker,Budget,indoor,3,Chennai
Buhari Hotel,Foodie / Culture Seeker,Budget,indoor,3,Chennai
Annalakshmi Restaurant,Foodie / Spiritual Traveler,Budget,indoor,3,Chennai
Madras Coffee House,Foodie / Budget Backpacker,Budget,indoor,3,Chennai
Cafe Madras,Foodie / Budget Backpacker,Budget,indoor,3,Chennai
Gokulam Restaurant,Foodie / Budget Backpacker,Budget,indoor,3,Chennai
Sangeetha Restaurant,Foodie / Budget Backpacker,Budget,indoor,3,Chennai
Adyar Ananda Bhavan,Foodie / Budget Backpacker,Budget,indoor,3,Chennai
Ratna Cafe,Foodie / Budget Backpacker,Budget,indoor,3,Chennai
Woodlands Drive-In,Foodie / Family Planner,Budget,both,3,Chennai
Amethyst Cafe,Foodie / Romantic Couple,Mid-range,indoor,3,Chennai
The Flying Elephant,Foodie / Family Planner,Mid-range,both,3,Chennai
Copper Chimney,Foodie / Romantic Couple,Premium,both,4,Chennai
Dakshin Restaurant,Foodie / Culture Seeker,Mid-range,indoor,3,Chennai
Pumpkin Tales,Foodie / Romantic Couple,Premium,both,4,Chennai
Naturally Auroville,Foodie / Relaxation Lover,Mid-range,both,3,Chennai
Chamiers Cafe,Foodie / Romantic Couple,Mid-range,indoor,3,Chennai
Tuscana Pizzeria,Foodie / Family Planner,Premium,indoor,4,Chennai
Writers Cafe,Foodie / Relaxation Lover,Mid-range,indoor,3,Chennai
The Brew Room,Foodie / Shopper / Urban Explorer,Premium,both,4,Chennai
Ciclo Cafe,Foodie / Romantic Couple,Mid-range,indoor,3,Chennai
Kasi Theatre Coffee,Foodie / Romantic Couple,Mid-range,indoor,3,Chennai
Kalakshetra Foundation,Culture Seeker / Spiritual Traveler,Mid-range,both,3,Chennai
Cholamandal Artists Village,Culture Seeker / Relaxation Lover,Mid-range,both,3,Chennai
Kalakendra Art Gallery,Culture Seeker,Mid-range,indoor,3,Chennai
Muttukadu Boat House,Adventure Seeker / Nature Lover,Mid-range,outdoor,3,Chennai
Bay of Life Water Sports,Adventure Seeker / Nature Lover,Budget,outdoor,3,Chennai
Thiruthani Murugan Temple,Spiritual Traveler / Culture Seeker,Mid-range,both,3,Tiruvallur
Veeraraghava Perumal Temple,Spiritual Traveler / Culture Seeker,Mid-range,both,2,Tiruvallur
Sri Vadaranyeswarar Temple,Spiritual Traveler / Culture Seeker,Budget,both,2,Tiruvallur
Panchamukha Anjaneyar Temple,Spiritual Traveler / Adventure Seeker,Budget,both,2,Tiruvallur
Siruvapuri Balamurugan Temple,Spiritual Traveler / Nature Lover,Mid-range,both,3,Tiruvallur
Vaseeswarar Temple Thirupachur,Spiritual Traveler / Culture Seeker,Budget,both,2,Tiruvallur
Bhaktavatsala Perumal Temple,Spiritual Traveler / Culture Seeker,Budget,both,1,Tiruvallur
Oondreeswarar Shiva Temple,Spiritual Traveler / Culture Seeker,Budget,both,1,Tiruvallur
Masilamaniswara Temple,Spiritual Traveler / Culture Seeker,Budget,both,1,Tiruvallur
Kadambathur Murugan Temple,Spiritual Traveler / Culture Seeker,Mid-range,both,2,Tiruvallur
Thyagaraja Temple Thiruvottiyur,Spiritual Traveler / Culture Seeker,Budget,both,2,Tiruvallur
Sri Veera Anjaneya Temple,Spiritual Traveler / Culture Seeker,Budget,both,1,Tiruvallur
Jagannatha Perumal Temple,Spiritual Traveler / Culture Seeker,Budget,both,2,Tiruvallur
Bhavani Amman Temple Periyapalayam,Spiritual Traveler / Culture Seeker,Budget,both,1,Tiruvallur
Devadhanam Temple,Spiritual Traveler / Culture Seeker,Budget,both,1,Tiruvallur
Sri Beteraya Swamy Temple,Spiritual Traveler,Budget,both,1,Tiruvallur
Pulicat Lake,Nature Lover / Relaxation Lover,Budget,outdoor,3,Tiruvallur
Pulicat Bird Sanctuary,Nature Lover / Adventure Seeker,Mid-range,outdoor,4,Tiruvallur
Poondi Reservoir,Nature Lover / Relaxation Lover,Budget,outdoor,3,Tiruvallur
Chembarambakkam Lake,Nature Lover / Relaxation Lover,Budget,outdoor,2,Tiruvallur
Ponneri Lake,Nature Lover / Relaxation Lover / Romantic Couple,Budget,outdoor,2,Tiruvallur
Red Hills Lake,Nature Lover / Relaxation Lover,Budget,outdoor,2,Tiruvallur
Pulicat Lagoon Boat Ride,Adventure Seeker / Nature Lover,Mid-range,outdoor,2,Tiruvallur
Ponneri Beach,Nature Lover / Relaxation Lover,Budget,outdoor,2,Tiruvallur
Kattupalli Beach,Nature Lover / Relaxation Lover,Budget,outdoor,2,Tiruvallur
Ennore Beach,Nature Lover / Relaxation Lover,Budget,outdoor,2,Tiruvallur
Pulicat Beach,Nature Lover / Relaxation Lover / Budget Backpacker,Budget,outdoor,2,Tiruvallur
Gudiyam Caves,Adventure Seeker / Culture Seeker,Budget,outdoor,2,Tiruvallur
Dutch Cemetery Pulicat,Culture Seeker / Budget Backpacker,Budget,outdoor,1,Tiruvallur
Dutch Church Pulicat,Culture Seeker / Spiritual Traveler,Budget,both,1,Tiruvallur
Ponneri Fort,Culture Seeker / Budget Backpacker,Budget,outdoor,2,Tiruvallur
Pulicat Lighthouse,Culture Seeker / Nature Lover,Budget,outdoor,1,Tiruvallur
Queensland Amusement Park,Adventure Seeker / Family Planner,Mid-range,outdoor,5,Tiruvallur
Peria Puliyur Forest,Nature Lover / Adventure Seeker,Budget,outdoor,3,Tiruvallur
Community Park Tiruvallur,Nature Lover / Family Planner,Budget,outdoor,1,Tiruvallur
Vetri Garden Free Park,Nature Lover / Relaxation Lover,Budget,outdoor,1,Tiruvallur
Suncity Park,Nature Lover / Family Planner,Budget,outdoor,1,Tiruvallur
Ngo Colony Park,Nature Lover / Relaxation Lover,Budget,outdoor,1,Tiruvallur
Poondi Madha Basilica,Spiritual Traveler / Culture Seeker,Budget,both,2,Tiruvallur
St. Anthony's Church Ponneri,Spiritual Traveler / Culture Seeker,Budget,both,1,Tiruvallur
Sacred Heart Church Tiruvallur,Spiritual Traveler,Budget,both,1,Tiruvallur
Tiruvallur Main Market,Shopper / Urban Explorer / Foodie,Budget,outdoor,2,Tiruvallur
Ponneri Local Market,Shopper / Urban Explorer / Culture Seeker,Budget,outdoor,2,Tiruvallur
Gummidipundi Market,Shopper / Urban Explorer / Foodie,Budget,outdoor,2,Tiruvallur
Thiruthani Market Street,Shopper / Urban Explorer / Budget Backpacker,Budget,outdoor,2,Tiruvallur
Anjappar Chettinad Restaurant,Foodie / Culture Seeker,Mid-range,indoor,1,Tiruvallur
Saravana Bhavan Tiruvallur,Foodie / Budget Backpacker,Budget,indoor,1,Tiruvallur
Hotel Aryaas,Foodie / Budget Backpacker,Budget,indoor,1,Tiruvallur
Murugan Idli Shop Tiruvallur,Foodie / Budget Backpacker,Budget,indoor,1,Tiruvallur
SS Hyderabad Biryani,Foodie / Culture Seeker,Budget,indoor,1,Tiruvallur
Thiruthani Darshini Restaurant,Foodie / Budget Backpacker,Budget,indoor,1,Tiruvallur
Ponneri Hotel Annapoorna,Foodie / Budget Backpacker,Budget,indoor,1,Tiruvallur
Gummidipundi Sangeetha Restaurant,Foodie / Budget Backpacker,Budget,indoor,1,Tiruvallur
A2B - Adyar Ananda Bhavan,Foodie / Budget Backpacker,Budget,indoor,1,Tiruvallur
Cafe Coffee Day Tiruvallur,Foodie / Romantic Couple,Mid-range,indoor,1,Tiruvallur
Pulicat Fishing Experience,Adventure Seeker / Culture Seeker,Mid-range,outdoor,3,Tiruvallur
Ponneri Lake Boating,Adventure Seeker / Nature Lover,Mid-range,outdoor,1,Tiruvallur
Pulicat Flamingo Watching,Nature Lover / Adventure Seeker,Mid-range,outdoor,3,Tiruvallur
Ponneri Fish Market,Culture Seeker / Foodie,Budget,outdoor,2,Tiruvallur
Pulicat Village Heritage Walk,Culture Seeker / Budget Backpacker,Budget,outdoor,2,Tiruvallur
Tiruvallur Cultural Center,Culture Seeker / Family Planner,Budget,indoor,2,Tiruvallur
Poondi Dam Viewpoint,Nature Lover / Romantic Couple,Budget,outdoor,1,Tiruvallur
Red Hills Lake Viewpoint,Nature Lover / Relaxation Lover,Budget,outdoor,1,Tiruvallur
Pulicat Sunset Point,Nature Lover / Romantic Couple,Budget,outdoor,1,Tiruvallur
Chembarambakkam Lake Viewpoint,Nature Lover / Relaxation Lover,Budget,outdoor,1,Tiruvallur
Sri Lakshmi Narasimha Swamy Temple,Spiritual Traveler / Culture Seeker,Budget,both,1,Tiruvallur
Kailasanathar Temple,Spiritual Traveler / Culture Seeker,Budget,both,1,Tiruvallur
Arulmigu Mariamman Temple,Spiritual Traveler / Culture Seeker,Budget,both,1,Tiruvallur
Vinayagar Temple Ponneri,Spiritual Traveler,Budget,both,1,Tiruvallur
Tiruvallur Shopping Complex,Shopper / Urban Explorer,Mid-range,indoor,2,Tiruvallur
Ponneri Textile Market,Shopper / Urban Explorer / Budget Backpacker,Budget,outdoor,2,Tiruvallur
Arignar Anna Zoological Park,Nature Lover / Family Planner,Mid-range,outdoor,4,Tiruvallur
Sadras Dutch Fort,Culture Seeker / Budget Backpacker,Budget,outdoor,2,Tiruvallur
Thiruvalangadu Temple,Spiritual Traveler / Culture Seeker,Budget,both,2,Tiruvallur
Porur Lake,Nature Lover / Relaxation Lover,Budget,outdoor,2,Tiruvallur
Kamarajar Lake,Nature Lover / Relaxation Lover,Budget,outdoor,2,Tiruvallur
Arulmigu Karumariamman Temple,Spiritual Traveler / Culture Seeker,Budget,both,1,Tiruvallur
VGP Marine Kingdom,Adventure Seeker / Family Planner,Mid-range,both,4,Tiruvallur
Alamathi Rathaswamy Temple,Spiritual Traveler / Culture Seeker,Budget,both,2,Tiruvallur
Minjur Beach,Nature Lover / Relaxation Lover,Budget,outdoor,2,Tiruvallur
Sri Padmavathi Amman Temple,Spiritual Traveler,Budget,both,1,Tiruvallur
Tiruvottiyur Beach,Nature Lover / Relaxation Lover,Budget,outdoor,2,Tiruvallur
Puzhal Lake Viewpoint,Nature Lover / Romantic Couple,Budget,outdoor,1,Tiruvallur
Hotel Srinivasa Bhavan,Foodie / Budget Backpacker,Budget,indoor,1,Tiruvallur
Thirunindravur Perumal Temple,Spiritual Traveler / Culture Seeker,Budget,both,2,Tiruvallur
Arulmigu Singamugavelayutha Swamy Temple,Spiritual Traveler / Culture Seeker,Budget,both,1,Tiruvallur
Gummidipundi Forest,Nature Lover / Adventure Seeker,Budget,outdoor,3,Tiruvallur
Hotel Saravana Bhavan Ponneri,Foodie / Budget Backpacker,Budget,indoor,1,Tiruvallur
Pulicat Island Tour,Adventure Seeker / Nature Lover,Mid-range,outdoor,4,Tiruvallur
Tiruvallur Government Museum,Culture Seeker / Family Planner,Budget,indoor,2,Tiruvallur
Sri Yoga Narasimha Swamy Temple,Spiritual Traveler / Culture Seeker,Budget,both,1,Tiruvallur
Ponneri Handicrafts Market,Shopper / Urban Explorer / Culture Seeker,Budget,outdoor,2,Tiruvallur
Manali Beach,Nature Lover / Relaxation Lover,Budget,outdoor,2,Tiruvallur
Pazhaverkadu Beach,Nature Lover / Relaxation Lover / Budget Backpacker,Budget,outdoor,2,Tiruvallur
Hotel Banana Leaf Thiruthani,Foodie / Culture Seeker,Budget,indoor,1,Tiruvallur
Arulmigu Kamakshi Amman Temple Gummidipundi,Spiritual Traveler,Budget,both,1,Tiruvallur
Cholavaram Lake,Nature Lover / Relaxation Lover,Budget,outdoor,2,Tiruvallur
Thiruverkadu Karumariamman Temple,Spiritual Traveler / Culture Seeker,Budget,both,2,Tiruvallur
Ponneri Eco Park,Nature Lover / Family Planner,Budget,outdoor,2,Tiruvallur
Cafe Madras Tiruvallur,Foodie / Romantic Couple,Mid-range,indoor,1,Tiruvallur
Sri Ranganathar Temple Ponneri,Spiritual Traveler / Culture Seeker,Budget,both,1,Tiruvallur
Athipattu Waterfalls,Nature Lover / Adventure Seeker,Budget,outdoor,3,Tiruvallur
Thiruvallur Bus Stand Market,Shopper / Urban Explorer / Foodie,Budget,outdoor,2,Tiruvallur
Arulmigu Sundaravaradaraja Perumal Temple,Spiritual Traveler / Culture Seeker,Budget,both,2,Tiruvallur
Pulicat Backwater Kayaking,Adventure Seeker / Nature Lover,Mid-range,outdoor,2,Tiruvallur
Hotel Vasantha Bhavan,Foodie / Budget Backpacker,Budget,indoor,1,Tiruvallur
Alamathi Lake,Nature Lover / Relaxation Lover,Budget,outdoor,2,Tiruvallur
Arulmigu Kottai Mariamman Temple,Spiritual Traveler / Culture Seeker,Budget,both,1,Tiruvallur
Gummidipundi Coastal Drive,Nature Lover / Romantic Couple,Budget,outdoor,2,Tiruvallur
Ponneri Photography Spots,Culture Seeker / Nature Lover,Budget,outdoor,2,Tiruvallur
Krishna Sweets Tiruvallur,Foodie / Budget Backpacker,Budget,indoor,1,Tiruvallur
Thiruppalaivanam Temple,Spiritual Traveler / Culture Seeker,Budget,both,2,Tiruvallur
Pazhaverkadu Flamingo Point,Nature Lover / Adventure Seeker,Mid-range,outdoor,3,Tiruvallur
Tiruvallur Heritage Walk,Culture Seeker / Budget Backpacker,Budget,outdoor,3,Tiruvallur
Sri Venkatachalapathy Temple,Spiritual Traveler,Budget,both,1,Tiruvallur
Ponneri Sunset Beach Point,Nature Lover / Romantic Couple,Budget,outdoor,1,Tiruvallur
Pulicat Traditional Fishing Village Tour,Culture Seeker / Adventure Seeker,Mid-range,outdoor,3,Tiruvallur
Hotel Guru Bhavan,Foodie / Budget Backpacker,Budget,indoor,1,Tiruvallur
Thiruvallur City Park,Nature Lover / Family Planner,Budget,outdoor,1,Tiruvallur
Arulmigu Sowmya Narayana Perumal Temple,Spiritual Traveler / Culture Seeker,Budget,both,1,Tiruvallur
Gummidipundi Pottery Village,Culture Seeker / Shopper,Budget,outdoor,2,Tiruvallur
Kamakshi Amman Temple,Spiritual Traveler / Culture Seeker,Mid-range,both,2,Kanchipuram
Ekambareswarar Temple,Spiritual Traveler / Culture Seeker,Mid-range,both,2,Kanchipuram
Varadharaja Perumal Temple,Spiritual Traveler / Culture Seeker,Mid-range,both,2,Kanchipuram
Kailasanathar Temple,Spiritual Traveler / Culture Seeker,Budget,both,2,Kanchipuram
Ulagalantha Perumal Temple,Spiritual Traveler / Culture Seeker,Budget,both,1,Kanchipuram
Vaikunda Perumal Temple,Spiritual Traveler / Culture Seeker,Budget,both,1,Kanchipuram
Kumarakottam Temple,Spiritual Traveler / Culture Seeker,Budget,both,1,Kanchipuram
Shore Temple Mahabalipuram,Spiritual Traveler / Culture Seeker,Mid-range,outdoor,2,Kanchipuram
Thirukacchi Ekambam Temple,Spiritual Traveler / Culture Seeker,Budget,both,1,Kanchipuram
Kachapeswarar Temple,Spiritual Traveler / Culture Seeker,Budget,both,1,Kanchipuram
Pancha Rathas,Culture Seeker / Budget Backpacker,Mid-range,outdoor,2,Kanchipuram
Arjuna's Penance,Culture Seeker / Adventure Seeker,Mid-range,outdoor,2,Kanchipuram
Krishna's Butterball,Culture Seeker / Family Planner,Budget,outdoor,1,Kanchipuram
Mahabalipuram Open Air Museum,Culture Seeker / Budget Backpacker,Mid-range,outdoor,2,Kanchipuram
Tiger Cave Mahabalipuram,Adventure Seeker / Culture Seeker,Budget,outdoor,1,Kanchipuram
Mahishasuramardini Cave,Culture Seeker / Spiritual Traveler,Budget,outdoor,1,Kanchipuram
Varaha Cave Temple,Culture Seeker / Spiritual Traveler,Budget,outdoor,1,Kanchipuram
Mahabalipuram Beach,Nature Lover / Relaxation Lover,Budget,outdoor,2,Kanchipuram
Covelong Beach,Adventure Seeker / Nature Lover,Mid-range,outdoor,3,Kanchipuram
Silver Beach Mahabalipuram,Nature Lover / Relaxation Lover / Romantic Couple,Budget,outdoor,2,Kanchipuram
Sadras Beach,Nature Lover / Relaxation Lover,Budget,outdoor,2,Kanchipuram
Kanchipuram Silk Saree Market,Shopper / Urban Explorer / Culture Seeker,Mid-range,indoor,3,Kanchipuram
Kanchipuram Co-operative Silk Society,Shopper / Urban Explorer,Mid-range,indoor,2,Kanchipuram
Gandhi Road Shopping Street,Shopper / Urban Explorer / Foodie,Budget,outdoor,2,Kanchipuram
Kanchipuram Silk Weaving Center,Culture Seeker / Shopper / Urban Explorer,Budget,indoor,2,Kanchipuram
Mahabalipuram Handicrafts Market,Shopper / Urban Explorer / Budget Backpacker,Budget,outdoor,2,Kanchipuram
Kanchi Kudil Heritage House,Culture Seeker / Family Planner,Budget,indoor,2,Kanchipuram
DakshinaChitra Museum,Culture Seeker / Family Planner,Mid-range,indoor,3,Kanchipuram
India Seashell Museum Mahabalipuram,Family Planner / Nature Lover,Mid-range,indoor,2,Kanchipuram
Vedanthangal Bird Sanctuary,Nature Lover / Adventure Seeker,Mid-range,outdoor,3,Kanchipuram
Madras Crocodile Bank,Nature Lover / Family Planner,Mid-range,both,2,Kanchipuram
Muttukadu Backwaters,Nature Lover / Relaxation Lover,Budget,outdoor,2,Kanchipuram
Muttukadu Boat House,Adventure Seeker / Nature Lover,Mid-range,outdoor,2,Kanchipuram
Kanchi Kamakoti Peetham,Spiritual Traveler / Culture Seeker,Budget,both,2,Kanchipuram
Adhi Varaha Perumal Temple,Spiritual Traveler / Culture Seeker,Budget,both,1,Kanchipuram
Pandava Dootha Perumal Temple,Spiritual Traveler / Culture Seeker,Budget,both,1,Kanchipuram
Saravana Bhavan Kanchipuram,Foodie / Budget Backpacker,Budget,indoor,1,Kanchipuram
Hotel Saravana Bhavan Mahabalipuram,Foodie / Budget Backpacker,Budget,indoor,1,Kanchipuram
Moonrakers Mahabalipuram,Foodie / Romantic Couple,Mid-range,indoor,2,Kanchipuram
Le Yogi Mahabalipuram,Foodie / Relaxation Lover,Mid-range,indoor,2,Kanchipuram
Mamalla Bhavan,Foodie / Culture Seeker,Budget,indoor,1,Kanchipuram
Sea Shore Garden Restaurant,Foodie / Nature Lover,Mid-range,both,2,Kanchipuram
Covelong Point Surf School,Adventure Seeker / Nature Lover,Premium,outdoor,3,Kanchipuram
Mahabalipuram Water Sports Center,Adventure Seeker / Family Planner,Mid-range,outdoor,2,Kanchipuram
Parasailing at Mahabalipuram,Adventure Seeker / Romantic Couple,Premium,outdoor,2,Kanchipuram
Kanchipuram Town Park,Nature Lover / Family Planner,Budget,outdoor,1,Kanchipuram
Mahabalipuram Beach Park,Nature Lover / Relaxation Lover,Budget,outdoor,1,Kanchipuram
Lighthouse Mahabalipuram,Culture Seeker / Nature Lover,Budget,outdoor,1,Kanchipuram
Mahabalipuram Sunset Point,Nature Lover / Romantic Couple,Budget,outdoor,1,Kanchipuram
Covelong Beach Sunset View,Nature Lover / Romantic Couple,Budget,outdoor,1,Kanchipuram
Thiruvakkarai Temple,Spiritual Traveler / Culture Seeker,Budget,both,1,Kanchipuram
Deepa Prakasa Perumal Temple,Spiritual Traveler / Culture Seeker,Budget,both,1,Kanchipuram
Ashtabhuja Perumal Temple,Spiritual Traveler / Culture Seeker,Budget,both,1,Kanchipuram
Pavalavannanathar Temple,Spiritual Traveler / Culture Seeker,Budget,both,1,Kanchipuram
Kamakshi Cave Temple,Spiritual Traveler / Culture Seeker,Budget,outdoor,1,Kanchipuram
Trilokyanatha Temple,Spiritual Traveler / Culture Seeker,Budget,both,1,Kanchipuram
Iravataneswara Temple,Spiritual Traveler / Culture Seeker,Budget,both,1,Kanchipuram
Muktheeswarar Temple,Spiritual Traveler / Culture Seeker,Budget,both,1,Kanchipuram
Thiruputkuzhi Temple,Spiritual Traveler / Culture Seeker,Budget,both,2,Kanchipuram
Atiranachanda Cave Temple,Culture Seeker / Adventure Seeker,Budget,outdoor,1,Kanchipuram
Trimurti Cave Temple,Culture Seeker / Spiritual Traveler,Budget,outdoor,1,Kanchipuram
Ganesha Ratha,Culture Seeker / Budget Backpacker,Budget,outdoor,1,Kanchipuram
Mahabalipuram Rock Carving Workshop,Culture Seeker / Shopper,Budget,indoor,2,Kanchipuram
Thirukkalukkunram Temple,Spiritual Traveler / Adventure Seeker,Budget,both,3,Kanchipuram
Vedagiri Murugan Temple,Spiritual Traveler / Nature Lover,Budget,both,2,Kanchipuram
Palar River Viewpoint,Nature Lover / Relaxation Lover,Budget,outdoor,1,Kanchipuram
Chengalpattu Fort,Culture Seeker / Budget Backpacker,Budget,outdoor,2,Kanchipuram
Kolavai Lake,Nature Lover / Relaxation Lover,Budget,outdoor,2,Kanchipuram
Thiruporur Murugan Temple,Spiritual Traveler / Culture Seeker,Budget,both,2,Kanchipuram
Alamparai Fort,Culture Seeker / Adventure Seeker,Budget,outdoor,2,Kanchipuram
Kovalam Beach,Nature Lover / Relaxation Lover,Budget,outdoor,2,Kanchipuram
Madurantakam Lake,Nature Lover / Relaxation Lover,Budget,outdoor,2,Kanchipuram
Kalpakkam Beach,Nature Lover / Relaxation Lover,Budget,outdoor,2,Kanchipuram
Thiruvidanthai Temple,Spiritual Traveler / Culture Seeker,Budget,both,2,Kanchipuram
Jalakanteshwara Temple Vellore,Spiritual Traveler / Culture Seeker,Mid-range,both,2,Kanchipuram
GRT Temple Bay Beach Resort,Relaxation Lover / Romantic Couple,Premium,both,3,Kanchipuram
Fisherman's Cove Beach,Nature Lover / Relaxation Lover,Mid-range,outdoor,2,Kanchipuram
Vedanthangal Lake Boating,Adventure Seeker / Nature Lover,Mid-range,outdoor,2,Kanchipuram
Hotel Aryaas Kanchipuram,Foodie / Budget Backpacker,Budget,indoor,1,Kanchipuram
Thalappakatti Restaurant Kanchipuram,Foodie / Culture Seeker,Mid-range,indoor,1,Kanchipuram
