place_name,category,cost_category,suitable_for,duration_hours,timing,destination_city
Arignar Anna Zoological Park,Nature Lover / Family Planner,Mid-range,Family,4,09:00-17:00,Chennai
Madras Crocodile Bank,Nature Lover / Adventure Seeker,Mid-range,Family,4,09:00-17:00,Chennai
Express Avenue Mall,Shopper / Urban Explorer / Foodie,Premium,Family,3,10:00-22:00,Chennai
Phoenix Marketcity,Shopper / Urban Explorer / Foodie,Premium,Family,4,10:00-22:00,Chennai
Forum Vijaya Mall,Shopper / Urban Explorer / Foodie,Premium,Family,4,10:00-22:00,Chennai
Spencer Plaza,Shopper / Urban Explorer / Budget Backpacker,Mid-range,Family,4,10:00-22:00,Chennai
Ampa Skywalk Mall,Shopper / Urban Explorer / Foodie,Premium,Family,3,10:00-22:00,Chennai
VR Chennai,Shopper / Urban Explorer / Foodie,Premium,Family,4,10:00-22:00,Chennai
Chennai Citi Centre,Shopper / Urban Explorer / Foodie,Mid-range,Family,3,10:00-22:00,Chennai
Grand Square Mall,Shopper / Urban Explorer / Foodie,Mid-range,Family,4,10:00-22:00,Chennai
Alsa Mall,Shopper / Urban Explorer / Foodie,Premium,Family,3,10:00-22:00,Chennai
Pondy Bazaar,Shopper / Urban Explorer / Budget Backpacker,Budget,Family,2,09:00-20:00,Chennai
Parrys Corner Market,Shopper / Urban Explorer / Foodie,Budget,Couple / Family,2,09:00-20:00,Chennai
Sowcarpet Market,Shopper / Urban Explorer / Culture Seeker,Budget,Couple / Family,2,09:00-20:00,Chennai
Ranganathan Street,Shopper / Urban Explorer / Foodie,Budget,Family,2,09:00-20:00,Chennai
T Nagar Shopping District,Shopper / Urban Explorer / Foodie,Budget,Couple / Family,2,10:00-21:00,Chennai
Fort St George,Culture Seeker / Budget Backpacker,Budget,Couple / Family,2,09:00-17:00,Chennai
Valluvar Kottam,Culture Seeker,Budget,Family,2,09:00-18:00,Chennai
Ripon Building,Culture Seeker / Budget Backpacker,Budget,Couple / Family,2,09:00-17:00,Chennai
High Court Building,Culture Seeker,Budget,Family,2,08:00-18:00,Chennai
Connemara Public Library,Culture Seeker / Relaxation Lover,Budget,Just Me / Couple,1,09:00-18:00,Chennai
George Town Heritage Area,Culture Seeker / Shopper / Urban Explorer,Budget,Just Me / Couple,2,08:00-18:00,Chennai
Mylapore Heritage Walk,Culture Seeker / Budget Backpacker,Budget,Couple / Family,2,09:00-17:00,Chennai
Anna Memorial,Culture Seeker,Budget,Just Me / Couple,1,08:00-18:00,Chennai
MGR Memorial,Culture Seeker,Budget,Family,1,09:00-18:00,Chennai
Arjuna's Penance,Culture Seeker / Adventure Seeker,Budget,Just Me / Couple,1,09:00-17:00,Chennai
Five Rathas,Culture Seeker / Budget Backpacker,Budget,Couple / Family,1,09:00-18:00,Chennai
MGR Film City,Culture Seeker / Family Planner,Premium,Family,5,10:00-18:00,Chennai
Snow Kingdom,Adventure Seeker / Family Planner,Mid-range,Family,5,10:00-19:00,Chennai
Kishkinta Theme Park,Adventure Seeker / Family Planner,Mid-range,Family,4,10:00-19:00,Chennai
VGP Marine Kingdom,Adventure Seeker / Family Planner,Mid-range,Family,4,11:00-20:00,Chennai
VGP Universal Kingdom,Adventure Seeker / Family Planner,Premium,Family,5,10:00-19:00,Chennai
Saravana Bhavan,Foodie / Budget Backpacker,Budget,Just Me / Family,1,06:30-22:00,Chennai
Murugan Idli Shop,Foodie / Budget Backpacker,Budget,Just Me / Family,1,11:00-23:00,Chennai
Buhari Hotel,Foodie / Culture Seeker,Budget,Just Me / Family,1,07:00-22:00,Chennai
Annalakshmi Restaurant,Foodie / Spiritual Traveler,Budget,Just Me / Family,1,06:30-22:00,Chennai
Madras Coffee House,Foodie / Budget Backpacker,Budget,Just Me / Family,1,07:00-22:00,Chennai
Cafe Madras,Foodie / Budget Backpacker,Budget,Family,1,11:00-23:00,Chennai
Gokulam Restaurant,Foodie / Budget Backpacker,Budget,Just Me / Family,1,06:30-22:00,Chennai
Sangeetha Restaurant,Foodie / Budget Backpacker,Budget,Family,1,07:00-22:00,Chennai
Adyar Ananda Bhavan,Foodie / Budget Backpacker,Budget,Family,1,11:00-23:00,Chennai
Ratna Cafe,Foodie / Budget Backpacker,Budget,Just Me / Family,1,06:30-22:00,Chennai
Woodlands Drive-In,Foodie / Family Planner,Budget,Just Me / Family,1,07:00-22:00,Chennai
Amethyst Cafe,Foodie / Romantic Couple,Mid-range,Couple / Family,2,09:00-22:00,Chennai
The Flying Elephant,Foodie / Family Planner,Mid-range,Couple,2,09:00-22:00,Chennai
Copper Chimney,Foodie / Romantic Couple,Premium,Couple,2,08:00-22:00,Chennai
Dakshin Restaurant,Foodie / Culture Seeker,Mid-range,Couple,2,10:00-23:00,Chennai
Pumpkin Tales,Foodie / Romantic Couple,Premium,Couple / Family,2,08:00-22:00,Chennai
Naturally Auroville,Foodie / Relaxation Lover,Mid-range,Couple,2,09:00-22:00,Chennai
Chamiers Cafe,Foodie / Romantic Couple,Mid-range,Couple,2,11:00-23:00,Chennai
Tuscana Pizzeria,Foodie / Family Planner,Premium,Couple,2,11:00-23:00,Chennai
Writers Cafe,Foodie / Relaxation Lover,Mid-range,Couple,2,09:00-22:00,Chennai
The Brew Room,Foodie / Shopper / Urban Explorer,Premium,Couple / Family,2,09:00-22:00,Chennai
Ciclo Cafe,Foodie / Romantic Couple,Mid-range,Couple / Family,2,10:00-23:00,Chennai
Kasi Theatre Coffee,Foodie / Romantic Couple,Mid-range,Couple,2,10:00-23:00,Chennai
Kalakshetra Foundation,Culture Seeker / Spiritual Traveler,Mid-range,Couple / Family,2,10:00-18:00,Chennai
Cholamandal Artists Village,Culture Seeker / Relaxation Lover,Mid-range,Couple / Family,2,10:00-18:00,Chennai
Kalakendra Art Gallery,Culture Seeker,Mid-range,Couple / Family,2,10:00-18:00,Chennai
Muttukadu Boat House,Adventure Seeker / Nature Lover,Mid-range,Just Me / Couple,2,08:00-17:00,Chennai
Bay of Life Water Sports,Adventure Seeker / Nature Lover,Budget,Couple,2,09:00-18:00,Chennai
Thiruthani Murugan Temple,Spiritual Traveler / Culture Seeker,Mid-range,Family,3,05:00-20:00,Tiruvallur
Veeraraghava Perumal Temple,Spiritual Traveler / Culture Seeker,Mid-range,Couple / Family,2,06:00-20:00,Tiruvallur
Sri Vadaranyeswarar Temple,Spiritual Traveler / Culture Seeker,Budget,Family,2,06:00-20:00,Tiruvallur
Panchamukha Anjaneyar Temple,Spiritual Traveler / Adventure Seeker,Budget,Couple / Family,2,06:00-20:00,Tiruvallur
Siruvapuri Balamurugan Temple,Spiritual Traveler / Nature Lover,Mid-range,Family,3,05:30-20:00,Tiruvallur
Vaseeswarar Temple Thirupachur,Spiritual Traveler / Culture Seeker,Budget,Family,2,06:00-19:00,Tiruvallur
Bhaktavatsala Perumal Temple,Spiritual Traveler / Culture Seeker,Budget,Couple / Family,1,06:00-20:00,Tiruvallur
Oondreeswarar Shiva Temple,Spiritual Traveler / Culture Seeker,Budget,Family,1,06:00-19:00,Tiruvallur
Masilamaniswara Temple,Spiritual Traveler / Culture Seeker,Budget,Family,1,06:00-20:00,Tiruvallur
Kadambathur Murugan Temple,Spiritual Traveler / Culture Seeker,Mid-range,Family,2,06:00-20:00,Tiruvallur
Thyagaraja Temple Thiruvottiyur,Spiritual Traveler / Culture Seeker,Budget,Family,2,06:00-20:00,Tiruvallur
Sri Veera Anjaneya Temple,Spiritual Traveler / Culture Seeker,Budget,Family,1,06:00-20:00,Tiruvallur
Jagannatha Perumal Temple,Spiritual Traveler / Culture Seeker,Budget,Family,2,06:00-19:00,Tiruvallur
Bhavani Amman Temple Periyapalayam,Spiritual Traveler / Culture Seeker,Budget,Family,1,06:00-20:00,Tiruvallur
Devadhanam Temple,Spiritual Traveler / Culture Seeker,Budget,Couple / Family,1,06:00-19:00,Tiruvallur
Sri Beteraya Swamy Temple,Spiritual Traveler,Budget,Family,1,06:00-20:00,Tiruvallur
Pulicat Lake,Nature Lover / Relaxation Lover,Budget,Couple / Family,3,06:00-18:00,Tiruvallur
Pulicat Bird Sanctuary,Nature Lover / Adventure Seeker,Mid-range,Couple / Family,4,06:00-17:00,Tiruvallur
Poondi Reservoir,Nature Lover / Relaxation Lover,Budget,Family,3,06:00-18:00,Tiruvallur
Chembarambakkam Lake,Nature Lover / Relaxation Lover,Budget,Family,2,06:00-18:00,Tiruvallur
Ponneri Lake,Nature Lover / Relaxation Lover / Romantic Couple,Budget,Couple / Family,2,06:00-19:00,Tiruvallur
Red Hills Lake,Nature Lover / Relaxation Lover,Budget,Family,2,06:00-18:00,Tiruvallur
Pulicat Lagoon Boat Ride,Adventure Seeker / Nature Lover,Mid-range,Couple / Family,2,07:00-17:00,Tiruvallur
Ponneri Beach,Nature Lover / Relaxation Lover,Budget,Couple / Family,2,06:00-18:00,Tiruvallur
Kattupalli Beach,Nature Lover / Relaxation Lover,Budget,Family,2,06:00-18:00,Tiruvallur
Ennore Beach,Nature Lover / Relaxation Lover,Budget,Just Me / Family,2,06:00-18:00,Tiruvallur
Pulicat Beach,Nature Lover / Relaxation Lover / Budget Backpacker,Budget,Couple / Family,2,06:00-18:00,Tiruvallur
Gudiyam Caves,Adventure Seeker / Culture Seeker,Budget,Couple / Family,2,08:00-17:00,Tiruvallur
Dutch Cemetery Pulicat,Culture Seeker / Budget Backpacker,Budget,Just Me / Couple,1,09:00-17:00,Tiruvallur
Dutch Church Pulicat,Culture Seeker / Spiritual Traveler,Budget,Couple / Family,1,09:00-17:00,Tiruvallur
Ponneri Fort,Culture Seeker / Budget Backpacker,Budget,Couple / Family,2,09:00-17:00,Tiruvallur
Pulicat Lighthouse,Culture Seeker / Nature Lover,Budget,Couple / Family,1,10:00-17:00,Tiruvallur
Queensland Amusement Park,Adventure Seeker / Family Planner,Mid-range,Family,5,10:00-19:00,Tiruvallur
Peria Puliyur Forest,Nature Lover / Adventure Seeker,Budget,Couple / Family,3,07:00-17:00,Tiruvallur
Community Park Tiruvallur,Nature Lover / Family Planner,Budget,Family,1,06:00-20:00,Tiruvallur
Vetri Garden Free Park,Nature Lover / Relaxation Lover,Budget,Family,1,06:00-20:00,Tiruvallur
Suncity Park,Nature Lover / Family Planner,Budget,Family,1,06:00-20:00,Tiruvallur
Ngo Colony Park,Nature Lover / Relaxation Lover,Budget,Family,1,06:00-20:00,Tiruvallur
Poondi Madha Basilica,Spiritual Traveler / Culture Seeker,Budget,Family,2,06:00-19:00,Tiruvallur
St. Anthony's Church Ponneri,Spiritual Traveler / Culture Seeker,Budget,Family,1,06:00-19:00,Tiruvallur
Sacred Heart Church Tiruvallur,Spiritual Traveler,Budget,Family,1,06:00-19:00,Tiruvallur
Tiruvallur Main Market,Shopper / Urban Explorer / Foodie,Budget,Family,2,09:00-20:00,Tiruvallur
Ponneri Local Market,Shopper / Urban Explorer / Culture Seeker,Budget,Couple / Family,2,08:00-20:00,Tiruvallur
Gummidipundi Market,Shopper / Urban Explorer / Foodie,Budget,Family,2,08:00-20:00,Tiruvallur
Thiruthani Market Street,Shopper / Urban Explorer / Budget Backpacker,Budget,Family,2,09:00-20:00,Tiruvallur
Anjappar Chettinad Restaurant,Foodie / Culture Seeker,Mid-range,Family,1,11:00-23:00,Tiruvallur
Saravana Bhavan Tiruvallur,Foodie / Budget Backpacker,Budget,Just Me / Family,1,07:00-22:00,Tiruvallur
Hotel Aryaas,Foodie / Budget Backpacker,Budget,Family,1,07:00-22:00,Tiruvallur
Murugan Idli Shop Tiruvallur,Foodie / Budget Backpacker,Budget,Just Me / Family,1,06:30-22:00,Tiruvallur
SS Hyderabad Biryani,Foodie / Culture Seeker,Budget,Family,1,11:00-23:00,Tiruvallur
Thiruthani Darshini Restaurant,Foodie / Budget Backpacker,Budget,Just Me / Family,1,07:00-22:00,Tiruvallur
Ponneri Hotel Annapoorna,Foodie / Budget Backpacker,Budget,Family,1,07:00-22:00,Tiruvallur
Gummidipundi Sangeetha Restaurant,Foodie / Budget Backpacker,Budget,Family,1,07:00-22:00,Tiruvallur
A2B - Adyar Ananda Bhavan,Foodie / Budget Backpacker,Budget,Family,1,07:00-23:00,Tiruvallur
Cafe Coffee Day Tiruvallur,Foodie / Romantic Couple,Mid-range,Couple,1,09:00-22:00,Tiruvallur
Pulicat Fishing Experience,Adventure Seeker / Culture Seeker,Mid-range,Just Me / Couple,3,05:00-10:00,Tiruvallur
Ponneri Lake Boating,Adventure Seeker / Nature Lover,Mid-range,Couple / Family,1,09:00-17:00,Tiruvallur
Pulicat Flamingo Watching,Nature Lover / Adventure Seeker,Mid-range,Couple / Family,3,06:00-10:00,Tiruvallur
Ponneri Fish Market,Culture Seeker / Foodie,Budget,Just Me / Couple,2,05:00-11:00,Tiruvallur
Pulicat Village Heritage Walk,Culture Seeker / Budget Backpacker,Budget,Just Me / Couple,2,08:00-17:00,Tiruvallur
Tiruvallur Cultural Center,Culture Seeker / Family Planner,Budget,Family,2,09:00-18:00,Tiruvallur
Poondi Dam Viewpoint,Nature Lover / Romantic Couple,Budget,Couple / Family,1,06:00-18:00,Tiruvallur
Red Hills Lake Viewpoint,Nature Lover / Relaxation Lover,Budget,Couple / Family,1,06:00-18:00,Tiruvallur
Pulicat Sunset Point,Nature Lover / Romantic Couple,Budget,Couple,1,16:00-19:00,Tiruvallur
Chembarambakkam Lake Viewpoint,Nature Lover / Relaxation Lover,Budget,Family,1,06:00-18:00,Tiruvallur
Sri Lakshmi Narasimha Swamy Temple,Spiritual Traveler / Culture Seeker,Budget,Family,1,06:00-20:00,Tiruvallur
Kailasanathar Temple,Spiritual Traveler / Culture Seeker,Budget,Family,1,06:00-19:00,Tiruvallur
Arulmigu Mariamman Temple,Spiritual Traveler / Culture Seeker,Budget,Family,1,06:00-20:00,Tiruvallur
Vinayagar Temple Ponneri,Spiritual Traveler,Budget,Family,1,06:00-20:00,Tiruvallur
Tiruvallur Shopping Complex,Shopper / Urban Explorer,Mid-range,Family,2,10:00-21:00,Tiruvallur
Ponneri Textile Market,Shopper / Urban Explorer / Budget Backpacker,Budget,Family,2,09:00-20:00,Tiruvallur
Kamakshi Amman Temple,Spiritual Traveler / Culture Seeker,Mid-range,Family,2,06:00-20:00,Kanchipuram
Ekambareswarar Temple,Spiritual Traveler / Culture Seeker,Mid-range,Family,2,"06:00-12:30, 16:00-20:30",Kanchipuram
Varadharaja Perumal Temple,Spiritual Traveler / Culture Seeker,Mid-range,Couple / Family,2,"06:00-12:30, 15:30-20:30",Kanchipuram
Kailasanathar Temple,Spiritual Traveler / Culture Seeker,Budget,Couple / Family,2,06:00-18:00,Kanchipuram
Ulagalantha Perumal Temple,Spiritual Traveler / Culture Seeker,Budget,Family,1,06:00-20:00,Kanchipuram
Vaikunda Perumal Temple,Spiritual Traveler / Culture Seeker,Budget,Family,1,06:00-20:00,Kanchipuram
Kumarakottam Temple,Spiritual Traveler / Culture Seeker,Budget,Family,1,06:00-20:00,Kanchipuram
Shore Temple Mahabalipuram,Spiritual Traveler / Culture Seeker,Mid-range,Couple / Family,2,06:00-18:00,Kanchipuram
Thirukacchi Ekambam Temple,Spiritual Traveler / Culture Seeker,Budget,Family,1,06:00-20:00,Kanchipuram
Kachapeswarar Temple,Spiritual Traveler / Culture Seeker,Budget,Family,1,06:00-20:00,Kanchipuram
Pancha Rathas,Culture Seeker / Budget Backpacker,Mid-range,Couple / Family,2,06:00-18:00,Kanchipuram
Arjuna's Penance,Culture Seeker / Adventure Seeker,Mid-range,Couple / Family,2,06:00-18:00,Kanchipuram
Krishna's Butterball,Culture Seeker / Family Planner,Budget,Family,1,06:00-18:00,Kanchipuram
Mahabalipuram Open Air Museum,Culture Seeker / Budget Backpacker,Mid-range,Couple / Family,2,06:00-18:00,Kanchipuram
Tiger Cave Mahabalipuram,Adventure Seeker / Culture Seeker,Budget,Couple / Family,1,06:00-18:00,Kanchipuram
Mahishasuramardini Cave,Culture Seeker / Spiritual Traveler,Budget,Couple / Family,1,06:00-18:00,Kanchipuram
Varaha Cave Temple,Culture Seeker / Spiritual Traveler,Budget,Family,1,06:00-18:00,Kanchipuram
Mahabalipuram Beach,Nature Lover / Relaxation Lover,Budget,Couple / Family,2,06:00-18:00,Kanchipuram
Covelong Beach,Adventure Seeker / Nature Lover,Mid-range,Couple / Family,3,06:00-18:00,Kanchipuram
Silver Beach Mahabalipuram,Nature Lover / Relaxation Lover / Romantic Couple,Budget,Couple,2,06:00-19:00,Kanchipuram
Sadras Beach,Nature Lover / Relaxation Lover,Budget,Family,2,06:00-18:00,Kanchipuram
Kanchipuram Silk Saree Market,Shopper / Urban Explorer / Culture Seeker,Mid-range,Family,3,09:00-20:00,Kanchipuram
Kanchipuram Co-operative Silk Society,Shopper / Urban Explorer,Mid-range,Couple / Family,2,09:00-19:00,Kanchipuram
Gandhi Road Shopping Street,Shopper / Urban Explorer / Foodie,Budget,Family,2,09:00-21:00,Kanchipuram
Kanchipuram Silk Weaving Center,Culture Seeker / Shopper / Urban Explorer,Budget,Couple / Family,2,09:00-18:00,Kanchipuram
Mahabalipuram Handicrafts Market,Shopper / Urban Explorer / Budget Backpacker,Budget,Couple / Family,2,09:00-20:00,Kanchipuram
Kanchi Kudil Heritage House,Culture Seeker / Family Planner,Budget,Family,2,09:00-17:00,Kanchipuram
DakshinaChitra Museum,Culture Seeker / Family Planner,Mid-range,Family,3,10:00-18:00,Kanchipuram
India Seashell Museum Mahabalipuram,Family Planner / Nature Lover,Mid-range,Family,2,09:00-18:00,Kanchipuram
Vedanthangal Bird Sanctuary,Nature Lover / Adventure Seeker,Mid-range,Couple / Family,3,06:00-18:00,Kanchipuram
Madras Crocodile Bank,Nature Lover / Family Planner,Mid-range,Family,2,08:30-17:30,Kanchipuram
Muttukadu Backwaters,Nature Lover / Relaxation Lover,Budget,Couple / Family,2,09:00-18:00,Kanchipuram
Muttukadu Boat House,Adventure Seeker / Nature Lover,Mid-range,Couple / Family,2,09:00-18:00,Kanchipuram
Kanchi Kamakoti Peetham,Spiritual Traveler / Culture Seeker,Budget,Family,2,07:00-19:00,Kanchipuram
Adhi Varaha Perumal Temple,Spiritual Traveler / Culture Seeker,Budget,Family,1,06:00-20:00,Kanchipuram
Pandava Dootha Perumal Temple,Spiritual Traveler / Culture Seeker,Budget,Family,1,06:00-20:00,Kanchipuram
Saravana Bhavan Kanchipuram,Foodie / Budget Backpacker,Budget,Just Me / Family,1,07:00-22:00,Kanchipuram
Hotel Saravana Bhavan Mahabalipuram,Foodie / Budget Backpacker,Budget,Family,1,07:00-22:00,Kanchipuram
Moonrakers Mahabalipuram,Foodie / Romantic Couple,Mid-range,Couple,2,12:00-23:00,Kanchipuram
Le Yogi Mahabalipuram,Foodie / Relaxation Lover,Mid-range,Couple / Family,2,08:00-22:00,Kanchipuram
Mamalla Bhavan,Foodie / Culture Seeker,Budget,Family,1,07:00-22:00,Kanchipuram
Sea Shore Garden Restaurant,Foodie / Nature Lover,Mid-range,Couple / Family,2,11:00-23:00,Kanchipuram
Covelong Point Surf School,Adventure Seeker / Nature Lover,Premium,Couple,3,07:00-17:00,Kanchipuram
Mahabalipuram Water Sports Center,Adventure Seeker / Family Planner,Mid-range,Family,2,09:00-18:00,Kanchipuram
Parasailing at Mahabalipuram,Adventure Seeker / Romantic Couple,Premium,Couple,2,08:00-17:00,Kanchipuram
Kanchipuram Town Park,Nature Lover / Family Planner,Budget,Family,1,06:00-20:00,Kanchipuram
Mahabalipuram Beach Park,Nature Lover / Relaxation Lover,Budget,Family,1,06:00-20:00,Kanchipuram
Lighthouse Mahabalipuram,Culture Seeker / Nature Lover,Budget,Couple / Family,1,"10:00-13:00, 15:00-17:30",Kanchipuram
Mahabalipuram Sunset Point,Nature Lover / Romantic Couple,Budget,Couple,1,16:00-19:00,Kanchipuram
Covelong Beach Sunset View,Nature Lover / Romantic Couple,Budget,Couple,1,16:00-19:00,Kanchipuram
Sri Lakshmi Narayani Golden Temple,Spiritual Traveler / Culture Seeker,Budget,Family,2,04:00-20:00,Vellore
Jalakandeswarar Temple,Spiritual Traveler / Culture Seeker,Budget,Family,2,06:00-20:00,Vellore
Ratnagiri Murugan Temple,Spiritual Traveler / Adventure Seeker,Budget,Couple / Family,2,06:00-20:00,Vellore
Virinjipuram Temple,Spiritual Traveler / Culture Seeker,Budget,Family,1,06:00-20:00,Vellore
Margabandeeswarar Temple,Spiritual Traveler / Culture Seeker,Budget,Family,1,06:00-19:00,Vellore
Sathuvachari Murugan Temple,Spiritual Traveler / Culture Seeker,Budget,Family,1,06:00-20:00,Vellore
St. John's Church,Culture Seeker / Spiritual Traveler,Budget,Couple / Family,1,09:00-17:00,Vellore
Big Mosque Vellore Fort,Culture Seeker / Spiritual Traveler,Budget,Couple / Family,1,09:00-17:00,Vellore
Vellore Fort,Culture Seeker / Budget Backpacker,Mid-range,Couple / Family,3,09:00-17:00,Vellore
Archaeological Survey Museum Vellore,Culture Seeker / Budget Backpacker,Budget,Just Me / Couple,2,09:00-17:00,Vellore
Government Museum Vellore,Culture Seeker / Budget Backpacker,Budget,Couple / Family,2,09:00-17:00,Vellore
Tipu Sultan's Mosque,Culture Seeker / Spiritual Traveler,Budget,Couple / Family,1,09:00-17:00,Vellore
Yelagiri Hills,Nature Lover / Adventure Seeker,Mid-range,Couple / Family,5,06:00-18:00,Vellore
Swamimalai Hills Yelagiri,Adventure Seeker / Nature Lover,Budget,Couple / Family,3,06:00-18:00,Vellore
Jalagamparai Waterfalls,Nature Lover / Adventure Seeker,Budget,Couple / Family,3,07:00-17:00,Vellore
Punganur Lake Yelagiri,Nature Lover / Relaxation Lover,Budget,Family,2,06:00-18:00,Vellore
Amirthi Zoological Park,Nature Lover / Family Planner,Mid-range,Family,4,09:00-17:30,Vellore
Amirthi Forest,Nature Lover / Adventure Seeker,Budget,Couple / Family,3,07:00-18:00,Vellore
Palamathi Hills,Adventure Seeker / Nature Lover,Budget,Couple / Family,3,06:00-18:00,Vellore
Kavalur Observatory,Culture Seeker / Family Planner,Mid-range,Family,2,10:00-16:00,Vellore
Periyar Park,Nature Lover / Family Planner,Budget,Family,2,06:00-20:00,Vellore
Science Park Vellore,Family Planner / Culture Seeker,Budget,Family,2,10:00-18:00,Vellore
Botanical Garden Yelagiri,Nature Lover / Relaxation Lover,Budget,Family,2,09:00-17:00,Vellore
Rose Garden Yelagiri,Nature Lover / Romantic Couple,Budget,Couple,1,09:00-18:00,Vellore
Yelagiri Adventure Camp,Adventure Seeker / Nature Lover,Mid-range,Couple / Family,4,08:00-17:00,Vellore
Paragliding at Yelagiri,Adventure Seeker / Romantic Couple,Premium,Couple,2,09:00-16:00,Vellore
Trekking at Yelagiri,Adventure Seeker / Nature Lover,Budget,Couple / Family,4,06:00-10:00,Vellore
Zip Line Yelagiri,Adventure Seeker / Family Planner,Mid-range,Family,2,09:00-17:00,Vellore
Boating at Punganur Lake,Nature Lover / Family Planner,Mid-range,Family,1,09:00-17:00,Vellore
Main Bazaar Vellore,Shopper / Urban Explorer / Foodie,Budget,Family,2,09:00-21:00,Vellore
VIT Market Complex,Shopper / Urban Explorer,Budget,Just Me / Couple,2,10:00-21:00,Vellore
Gandhi Road Shopping,Shopper / Urban Explorer,Budget,Family,2,09:00-21:00,Vellore
Yelagiri Handicrafts Market,Shopper / Urban Explorer / Budget Backpacker,Budget,Couple / Family,2,09:00-19:00,Vellore
Darling Restaurant Vellore,Foodie / Budget Backpacker,Budget,Just Me / Family,1,11:00-23:00,Vellore
